address,ens_name,follow_count,follow_count_space,follow_count_non_space,total_votes,total_proposal_interaction,total_proposal_interaction_in_space,total_proposal_interaction_non_space,total_nft,rewards_nft
0x38dAEa6f17E4308b0Da9647dB9ca6D84a3A7E195,alexcore.eth,20,1,19,44858.9256,1000,20,980,50,0
0x183bDB344A07Ee3D27f07AC4799A56E4A2fE5439,NULL,20,1,19,29769.08939,1000,45,955,16,0
0x2Ea5E9E452F85f55Be47504153f25740A5f3D78A,archer36159.eth,20,0,20,6018.81836,1000,55,945,50,0
0x7dd508a1e4Da1243789B799a480f8B45e58b1B5b,5747u5.eth,13,1,12,259172.0656,744,89,655,10,0
0xf85d965e9Fd4607B000110253214f49231f0031a,rasoul.eth,20,0,20,27250.06315,715,88,627,50,0
0x95F50Cf888dFeC90321dC376c1E695F15B081595,xf0707.eth,20,1,19,31481.99343,709,90,619,47,2
0x382Cab376440F92d4943f8b47Dd45645CF98BE0C,arielli.eth,20,0,20,40244.11105,687,86,601,50,0
0x7DA0e97CB78832463914392B5d414C1bEFA1fB01,wuguo.eth,20,1,19,144041.9141,681,80,601,50,0
0x03894d4ac41Dd6C4c2f524eD4417C90fA46972c6,haoxiao.eth,20,0,20,31700.33349,662,58,604,50,0
0x77C9e49073d9830723195f3788570c2c36c97688,0000x.eth,20,0,20,48591.40174,648,90,558,50,0
0x9E4977972cb8A95fDF2Cf9Bda269EBDB2DcaEa35,wangling.eth,20,1,19,67542.17516,642,74,568,50,0
0xe9945b3AcbDc2f9dcad8871F01aa9dabBb20d882,sibiu.eth,20,1,19,41063.65695,618,49,569,34,0
0x41E260E8F07615418968C5Fc7D10e277Cf7eaB56,btclabs.eth,20,0,20,39406.76888,611,63,548,50,0
0x994F96722575B64b27CDBe327498F34Aaa2f0043,radmehr.eth,20,0,20,71921.1949,602,86,516,50,0
0x6B87616D8fe9eb216975D464F13A82f72114af2F,san21.eth,20,0,20,87945.21742,591,90,501,50,0
0xD57e9dF75381553cE9c154712aC7f73Eb206BD63,pypke.eth,20,1,19,36910.67794,565,63,502,50,0
0xa9811f9f6B8bCA7f9F91f850A98310e63FBB7326,shojaie.eth,20,0,20,235032.7162,561,93,468,50,0
0xDc52350858b60853D93390Ab38DEe3ce7e147fa7,capxon.eth,20,1,19,30984.21351,547,89,458,50,1
0xBe13084Cea1e3C8615f781b85B995c4d95947080,bmlcwenwu.eth,20,0,20,85705.33235,543,89,454,50,0
0x1d0239E4E185f5F3FBa605897849744AE8B5F333,weigu.eth,20,1,19,33336.34384,543,63,480,50,0
0xCBb54Eda2048b57d1b0Afb19a73948E9D58B6973,cunami.eth,20,0,20,184574.0202,542,89,453,50,0
0xe274aE86FF13C1bBAACd3662Ec5fd7279A18E28f,tnfps.eth,20,1,19,65987.04655,542,63,479,50,1
0xA129D5436FB797ff1d9C11B5F9d3AB0e27Dd34B5,bugbu.eth,20,1,19,32729.24752,539,63,476,50,0
0xDC7EC05Bf7781f9E861Ee5486023Dc6CF71FA7c4,lgtzz.eth,20,1,19,35401.27165,537,63,474,50,0
0x7F64716CFB04eF0b78A3fCf02d3406A1b9DD0c42,xffxf.eth,20,1,19,38484.92567,536,63,473,50,0
0x33d7147b957C1d1D0bB17d2B09E1d85E86be9873,ntqbd.eth,20,1,19,37698.04081,536,63,473,50,0
0x41602b8582F474Eb9C029dD502e7DdA119345931,qepdm.eth,20,1,19,34603.67776,536,63,473,50,0
0xFd7D9173403efd29F6b0b576217a59fD426170B8,aqytu.eth,20,1,19,32987.18567,536,63,473,50,0
0xF9039Ae1E299486D8E6C5740ca6340797fd42736,ydlup.eth,20,1,19,31796.05126,536,63,473,50,0
0x94d4d40759af1CD2adDB95252278DBAe38C78D1b,ecsqr.eth,20,1,19,38231.98995,535,63,472,50,0
0x81d53CD3e96FD8D51CEf3DE47e546d0b325af8bF,lgxbl.eth,20,1,19,37850.33193,535,63,472,50,0
0xb4d50b4e31181A004BeB14e8b0A522bb434ea1fe,xggbi.eth,20,1,19,38094.37216,534,62,472,50,0
0x3B174445371Dd00Fb766357F29118aC6A0aEEc1C,ihwww.eth,20,1,19,36886.98756,534,63,471,50,1
0x66109B3b6348d1dF6bF1f8d998e527b967f682EA,qybxi.eth,20,1,19,36446.3204,534,63,471,50,1
0x8a36c41E2b7d0ee24668729d08543AB77A99DCeD,hfpqr.eth,20,1,19,36332.26751,534,63,471,50,0
0xF574fBbbD0C29Ff2dbD10839E33793a6EAfde809,smpkm.eth,20,1,19,36309.21118,534,63,471,50,1
0x02E9e647e041854Ad3c4c56D8C4F4B69c68A7682,oqtgh.eth,20,1,19,36035.12964,534,63,471,50,0
0xbAFaf28d01aEfec4cF16830d2187beCD502c6e0F,onzjq.eth,20,1,19,35906.95181,534,63,471,50,0
0x512fce9B07Ce64590849115EE6B32fd40eC0f5F3,balancermaxi.eth,15,0,15,17614155.63,533,91,442,23,1
0x1E265fDd0654120C739639B87E967F65339aa4cf,amoef.eth,20,1,19,38977.31364,532,63,469,50,0
0xee33D688fE27a3a754435c50F8A12654D5327a16,obyer.eth,20,1,19,39281.24065,531,63,468,50,1
0x2338E4897119a104a3145F7b500fE98B51A56637,nsqlw.eth,20,1,19,36465.29703,531,63,468,50,1
0xC9Ac69013f041eBEE6009bED69047Db1a795Dbe9,xkyoy.eth,20,1,19,39170.12149,530,63,467,50,0
0x4E4b40b1a3f945D6eCc00f65AdBa063be82439F0,knxyc.eth,20,1,19,35330.01653,530,63,467,49,1
0x1D7375A6FFc5a60B435558859a2762CFd6C6b07f,xgejq.eth,20,1,19,41412.35054,529,63,466,50,1
0x1CD1a6C4570c039368f5456Aa82574AF6567e6F6,plglk.eth,20,1,19,33856.99953,529,63,466,50,1
0xE8FcdB117A5f0eC16Ef040E6fE3F675390A7Bb5c,tbkgl.eth,20,1,19,33849.43488,529,62,467,50,1
0xe874411d6e354B93bE52B05280052c193550fa03,szirh.eth,20,1,19,31240.51494,529,63,466,50,1
0xA3728c1f3Ac52ded2fc69D3b95235d7a6fD2B377,aqziq.eth,20,1,19,39971.90911,527,63,464,50,1
0x6069A291fC1DBbB0782A1314b6fb06e6D25B22da,fgdzg.eth,20,1,19,35989.3001,525,63,462,50,1
0xbBdfe37F2b5D2b7E86721324336aBdc2221c4be3,ondkl.eth,20,1,19,31969.66049,524,63,461,50,1
0x6Ce617317a75aCa2c9F7129bBe329BCD242c884A,alicegalaxy.eth,20,0,20,45816.75228,523,93,430,50,0
0x070341aA5Ed571f0FB2c4a5641409B1A46b4961b,NULL,12,1,11,13496350.03,517,92,425,1,0
0xF3B23BB212567c174f356437F98544bf13164436,anpay.eth,20,1,19,91747.69824,511,71,440,38,2
0x6CEEa0FC41387fC6780aA78125ffdE3EcE0dc103,ppyaa.eth,15,1,14,29644.5574,505,73,432,37,1
0x1e39cC29009ED4760c186d8771295c1E224882d4,madiba.eth,20,1,19,659150.5167,503,84,419,28,1
0x819Fec659e1C225ce330B02e01f1e4c629E92A7a,forough.eth,20,0,20,31001.50992,494,89,405,50,0
